year,quarter_number,region,churn
1993,2,ИРКУТСКАЯ ОБЛ,0.0
1993,2,КАЛУЖСКАЯ ОБЛ,0.0
1993,2,ЛИТВА,0.0
1993,2,МОСКВА Г,0.0
1993,2,МОСКОВСКАЯ ОБЛ,0.0
1993,2,НИЖЕГОРОДСКАЯ ОБЛ,0.0
1993,2,ПЕНЗЕНСКАЯ ОБЛ,0.0
1993,2,УКРАИНА,0.0
1993,2,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,0.0
1993,3,АМУРСКАЯ ОБЛ,0.0
1993,3,АРХАНГЕЛЬСКАЯ ОБЛ,0.0
1993,3,БРЯНСКАЯ ОБЛ,0.0
1993,3,ВЛАДИМИРСКАЯ ОБЛ,0.0
1993,3,ВОЛГОГРАДСКАЯ ОБЛ,0.0
1993,3,ВОЛОГОДСКАЯ ОБЛ,0.0
1993,3,ВОРОНЕЖСКАЯ ОБЛ,0.0
1993,3,ИВАНОВСКАЯ ОБЛ,0.0
1993,3,КАЛУЖСКАЯ ОБЛ,0.0
1993,3,КАМЧАТСКИЙ КРАЙ,0.0
1993,3,КОМИ РЕСП,0.0
1993,3,КОСТРОМСКАЯ ОБЛ,0.0
1993,3,КРАСНОДАРСКИЙ КРАЙ,0.0
1993,3,КРАСНОЯРСКИЙ КРАЙ,0.0
1993,3,ЛЕНИНГРАДСКАЯ ОБЛ,0.0
1993,3,МОЛДАВИЯ,0.0
1993,3,МОСКВА Г,0.0
1993,3,МОСКОВСКАЯ ОБЛ,0.0
1993,3,МУРМАНСКАЯ ОБЛ,0.0
1993,3,НИЖЕГОРОДСКАЯ ОБЛ,0.0
1993,3,НОВОСИБИРСКАЯ ОБЛ,0.0
1993,3,ПЕНЗЕНСКАЯ ОБЛ,0.0
1993,3,РОСТОВСКАЯ ОБЛ,0.0
1993,3,САРАТОВСКАЯ ОБЛ,0.0
1993,3,САХАЛИНСКАЯ ОБЛ,0.0
1993,3,СВЕРДЛОВСКАЯ ОБЛ,0.0
1993,3,ТВЕРСКАЯ ОБЛ,0.0
1993,3,ТУЛЬСКАЯ ОБЛ,0.0
1993,3,УЗБЕКИСТАН,0.0
1993,3,УКРАИНА,0.0
1993,3,ХАБАРОВСКИЙ КРАЙ,0.0
1993,3,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,0.0
1993,3,ЯМАЛО-НЕНЕЦКИЙ АО,0.0
1993,3,ЯРОСЛАВСКАЯ ОБЛ,0.0
1993,4,АМУРСКАЯ ОБЛ,0.0
1993,4,АРХАНГЕЛЬСКАЯ ОБЛ,0.0
1993,4,БЕЛАРУСЬ,0.0
1993,4,ВЛАДИМИРСКАЯ ОБЛ,0.0
1993,4,ВОЛГОГРАДСКАЯ ОБЛ,0.0
1993,4,ВОЛОГОДСКАЯ ОБЛ,0.0
1993,4,ВОРОНЕЖСКАЯ ОБЛ,0.0
1993,4,ЗАБАЙКАЛЬСКИЙ КРАЙ,0.0
1993,4,ИВАНОВСКАЯ ОБЛ,0.0
1993,4,ИРКУТСКАЯ ОБЛ,0.0
1993,4,КАБАРДИНО-БАЛКАРСКАЯ РЕСП,0.0
1993,4,КАЗАХСТАН,0.0
1993,4,КАЛУЖСКАЯ ОБЛ,0.0
1993,4,КАМЧАТСКИЙ КРАЙ,0.0
1993,4,КАРЕЛИЯ РЕСП,0.0
1993,4,КОСТРОМСКАЯ ОБЛ,0.0
1993,4,КРАСНОДАРСКИЙ КРАЙ,0.0
1993,4,КРАСНОЯРСКИЙ КРАЙ,0.0
1993,4,КУРСКАЯ ОБЛ,0.0
1993,4,ЛЕНИНГРАДСКАЯ ОБЛ,0.0
1993,4,ЛИТВА,0.0
1993,4,МАГАДАНСКАЯ ОБЛ,0.0
1993,4,МОЛДАВИЯ,0.0
1993,4,МОСКВА Г,0.0
1993,4,МОСКОВСКАЯ ОБЛ,0.0
1993,4,МУРМАНСКАЯ ОБЛ,0.0
1993,4,НИЖЕГОРОДСКАЯ ОБЛ,0.0
1993,4,НОВОСИБИРСКАЯ ОБЛ,0.0
1993,4,ОМСКАЯ ОБЛ,0.0
1993,4,ПЕНЗЕНСКАЯ ОБЛ,0.0
1993,4,ПСКОВСКАЯ ОБЛ,0.0
1993,4,РОСТОВСКАЯ ОБЛ,0.0
1993,4,РЯЗАНСКАЯ ОБЛ,0.0
1993,4,САМАРСКАЯ ОБЛ,0.0
1993,4,САНКТ-ПЕТЕРБУРГ Г,0.0
1993,4,САРАТОВСКАЯ ОБЛ,0.0
1993,4,САХА /ЯКУТИЯ/ РЕСП,0.0
1993,4,САХАЛИНСКАЯ ОБЛ,0.0
1993,4,СВЕРДЛОВСКАЯ ОБЛ,0.0
1993,4,СЕВАСТОПОЛЬ Г,0.0
1993,4,ТВЕРСКАЯ ОБЛ,0.0
1993,4,ТУЛЬСКАЯ ОБЛ,0.0
1993,4,ТЮМЕНСКАЯ ОБЛ,0.0
1993,4,УЗБЕКИСТАН,0.0
1993,4,УКРАИНА,0.0
1993,4,ХАБАРОВСКИЙ КРАЙ,0.0
1993,4,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА АО,0.0
1993,4,ЧЕЛЯБИНСКАЯ ОБЛ,0.0
1993,4,ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ,0.0
1993,4,ЧУКОТСКИЙ АО,0.0
1993,4,ЯМАЛО-НЕНЕЦКИЙ АО,0.0
1993,4,ЯРОСЛАВСКАЯ ОБЛ,0.0
1994,1,АМУРСКАЯ ОБЛ,0.0
1994,1,АРХАНГЕЛЬСКАЯ ОБЛ,0.0
1994,1,БЕЛАРУСЬ,0.0
1994,1,БРЯНСКАЯ ОБЛ,0.0
1994,1,ВЛАДИМИРСКАЯ ОБЛ,0.0
1994,1,ВОЛГОГРАДСКАЯ ОБЛ,0.0
1994,1,ВОЛОГОДСКАЯ ОБЛ,0.0
1994,1,ВОРОНЕЖСКАЯ ОБЛ,0.0
1994,1,ЗАБАЙКАЛЬСКИЙ КРАЙ,0.0
1994,1,ИВАНОВСКАЯ ОБЛ,0.0
1994,1,ИРКУТСКАЯ ОБЛ,0.0
1994,1,КАБАРДИНО-БАЛКАРСКАЯ РЕСП,0.0
1994,1,КАЗАХСТАН,0.0
1994,1,КАЛУЖСКАЯ ОБЛ,0.0
1994,1,КАМЧАТСКИЙ КРАЙ,0.0
1994,1,КАРЕЛИЯ РЕСП,0.0
1994,1,КИРОВСКАЯ ОБЛ,0.0
1994,1,КОСТРОМСКАЯ ОБЛ,0.0
1994,1,КРАСНОДАРСКИЙ КРАЙ,0.0
1994,1,КРАСНОЯРСКИЙ КРАЙ,0.0
1994,1,КУРГАНСКАЯ ОБЛ,0.0
1994,1,КУРСКАЯ ОБЛ,0.0
1994,1,ЛЕНИНГРАДСКАЯ ОБЛ,0.0
1994,1,ЛИТВА,0.0
1994,1,МАГАДАНСКАЯ ОБЛ,0.0
1994,1,МАРИЙ ЭЛ РЕСП,0.0
1994,1,МОЛДАВИЯ,0.0
1994,1,МОСКВА Г,0.0
1994,1,МОСКОВСКАЯ ОБЛ,0.0
1994,1,МУРМАНСКАЯ ОБЛ,0.0
