region,year,quarter,churn,qrtr_numb
АДЫГЕЯ РЕСП,2018,2018Q1,0.0,1
АДЫГЕЯ РЕСП,2018,2018Q2,0.0,2
АДЫГЕЯ РЕСП,2018,2018Q3,0.0,3
АДЫГЕЯ РЕСП,2018,2018Q4,0.0,4
АДЫГЕЯ РЕСП,2019,2019Q1,0.0,1
АДЫГЕЯ РЕСП,2019,2019Q2,0.0,2
АДЫГЕЯ РЕСП,2019,2019Q3,0.06666666666666667,3
АДЫГЕЯ РЕСП,2019,2019Q4,0.0,4
АДЫГЕЯ РЕСП,2020,2020Q1,0.0,1
АДЫГЕЯ РЕСП,2020,2020Q2,0.0,2
АДЫГЕЯ РЕСП,2020,2020Q3,0.0,3
АДЫГЕЯ РЕСП,2020,2020Q4,0.024390243902439025,4
АДЫГЕЯ РЕСП,2021,2021Q1,0.058823529411764705,1
АДЫГЕЯ РЕСП,2021,2021Q2,0.05555555555555555,2
АДЫГЕЯ РЕСП,2021,2021Q3,0.045454545454545456,3
АДЫГЕЯ РЕСП,2021,2021Q4,0.0,4
АДЫГЕЯ РЕСП,2022,2022Q1,0.08695652173913043,1
АДЫГЕЯ РЕСП,2022,2022Q2,0.0,2
АДЫГЕЯ РЕСП,2022,2022Q3,0.0,3
АДЫГЕЯ РЕСП,2022,2022Q4,0.0,4
АЛТАЙ РЕСП,2018,2018Q1,0.0,1
АЛТАЙ РЕСП,2018,2018Q2,0.0,2
АЛТАЙ РЕСП,2018,2018Q3,0.0,3
АЛТАЙ РЕСП,2018,2018Q4,0.0,4
АЛТАЙ РЕСП,2019,2019Q1,0.0,1
АЛТАЙ РЕСП,2019,2019Q2,0.0,2
АЛТАЙ РЕСП,2019,2019Q3,0.0,3
АЛТАЙ РЕСП,2019,2019Q4,0.0,4
АЛТАЙ РЕСП,2020,2020Q1,0.0,1
АЛТАЙ РЕСП,2020,2020Q2,0.0,2
АЛТАЙ РЕСП,2020,2020Q3,0.0,3
АЛТАЙ РЕСП,2020,2020Q4,0.0,4
АЛТАЙ РЕСП,2021,2021Q1,0.0,1
АЛТАЙ РЕСП,2021,2021Q2,0.0,2
АЛТАЙ РЕСП,2021,2021Q3,0.0,3
АЛТАЙ РЕСП,2021,2021Q4,0.0,4
АЛТАЙ РЕСП,2022,2022Q1,0.0,1
АЛТАЙ РЕСП,2022,2022Q2,0.0,2
АЛТАЙ РЕСП,2022,2022Q3,0.0,3
АЛТАЙ РЕСП,2022,2022Q4,0.0,4
АЛТАЙСКИЙ КРАЙ,2018,2018Q1,0.0898876404494382,1
АЛТАЙСКИЙ КРАЙ,2018,2018Q2,0.075,2
АЛТАЙСКИЙ КРАЙ,2018,2018Q3,0.056338028169014086,3
АЛТАЙСКИЙ КРАЙ,2018,2018Q4,0.02030456852791878,4
АЛТАЙСКИЙ КРАЙ,2019,2019Q1,0.03896103896103896,1
АЛТАЙСКИЙ КРАЙ,2019,2019Q2,0.0410958904109589,2
АЛТАЙСКИЙ КРАЙ,2019,2019Q3,0.013888888888888888,3
АЛТАЙСКИЙ КРАЙ,2019,2019Q4,0.0,4
АЛТАЙСКИЙ КРАЙ,2020,2020Q1,0.0,1
АЛТАЙСКИЙ КРАЙ,2020,2020Q2,0.0,2
АЛТАЙСКИЙ КРАЙ,2020,2020Q3,0.0,3
АЛТАЙСКИЙ КРАЙ,2020,2020Q4,0.006060606060606061,4
АЛТАЙСКИЙ КРАЙ,2021,2021Q1,0.028846153846153848,1
АЛТАЙСКИЙ КРАЙ,2021,2021Q2,0.04040404040404041,2
АЛТАЙСКИЙ КРАЙ,2021,2021Q3,0.03333333333333333,3
АЛТАЙСКИЙ КРАЙ,2021,2021Q4,0.0038684719535783366,4
АЛТАЙСКИЙ КРАЙ,2022,2022Q1,0.0,1
