id,region,year,quarter,balance,lst_pmnt
0,АДЫГЕЯ РЕСП,2019,2019Q3,2085217.89,25104.95
1,АДЫГЕЯ РЕСП,2020,2020Q4,422441.72,14845.6
2,АДЫГЕЯ РЕСП,2021,2021Q1,190198.59,1910.57
3,АДЫГЕЯ РЕСП,2021,2021Q2,160695.83,6328.65
4,АДЫГЕЯ РЕСП,2021,2021Q3,30868.13,1382.83
5,АДЫГЕЯ РЕСП,2022,2022Q1,1021204.6,58859.01
6,АЛТАЙСКИЙ КРАЙ,2018,2018Q1,1065671.56,26420.87
7,АЛТАЙСКИЙ КРАЙ,2018,2018Q2,421698.09,9253.84
8,АЛТАЙСКИЙ КРАЙ,2018,2018Q3,202958.16999999998,3034.32
9,АЛТАЙСКИЙ КРАЙ,2018,2018Q4,772082.62,13208.75
10,АЛТАЙСКИЙ КРАЙ,2019,2019Q1,177364.26,7459.37
11,АЛТАЙСКИЙ КРАЙ,2019,2019Q2,195585.73,6151.860000000001
12,АЛТАЙСКИЙ КРАЙ,2019,2019Q3,178240.84,2149.65
13,АЛТАЙСКИЙ КРАЙ,2020,2020Q4,198363.76,8772.57
14,АЛТАЙСКИЙ КРАЙ,2021,2021Q1,1148083.46,19820.19
15,АЛТАЙСКИЙ КРАЙ,2021,2021Q2,377573.79,10492.84
16,АЛТАЙСКИЙ КРАЙ,2021,2021Q3,349167.26,1855.36
17,АЛТАЙСКИЙ КРАЙ,2021,2021Q4,47655.49,1998.2199999999998
18,АЛТАЙСКИЙ КРАЙ,2022,2022Q2,169435.47999999998,1700.8
19,АЛТАЙСКИЙ КРАЙ,2022,2022Q3,76046.1,7452.07
20,АМУРСКАЯ ОБЛ,2019,2019Q1,620504.62,35274.73
21,АМУРСКАЯ ОБЛ,2021,2021Q3,8827.32,1655.12
22,АМУРСКАЯ ОБЛ,2022,2022Q2,223181.38,2266.18
23,АРХАНГЕЛЬСКАЯ ОБЛ,2018,2018Q1,2147869.73,42216.100000000006
24,АРХАНГЕЛЬСКАЯ ОБЛ,2018,2018Q2,530535.35,10823.01
25,АРХАНГЕЛЬСКАЯ ОБЛ,2018,2018Q3,466857.96,9674.079999999998
26,АРХАНГЕЛЬСКАЯ ОБЛ,2018,2018Q4,1298118.22,24676.8
27,АРХАНГЕЛЬСКАЯ ОБЛ,2019,2019Q1,1199867.98,37263.08
28,АРХАНГЕЛЬСКАЯ ОБЛ,2019,2019Q2,689846.24,13521.77
29,АРХАНГЕЛЬСКАЯ ОБЛ,2019,2019Q3,425150.62,12893.95
30,АРХАНГЕЛЬСКАЯ ОБЛ,2019,2019Q4,406914.55,12942.75
31,АРХАНГЕЛЬСКАЯ ОБЛ,2020,2020Q1,2310301.0,45751.01
32,АРХАНГЕЛЬСКАЯ ОБЛ,2020,2020Q2,1020527.35,19477.43
33,АРХАНГЕЛЬСКАЯ ОБЛ,2020,2020Q3,2020250.0499999998,37112.7
34,АРХАНГЕЛЬСКАЯ ОБЛ,2020,2020Q4,1815062.62,44915.95
35,АРХАНГЕЛЬСКАЯ ОБЛ,2021,2021Q1,2537153.95,99299.59999999999
36,АРХАНГЕЛЬСКАЯ ОБЛ,2021,2021Q2,1760862.02,45754.03
37,АРХАНГЕЛЬСКАЯ ОБЛ,2021,2021Q3,694912.84,37105.76
38,АРХАНГЕЛЬСКАЯ ОБЛ,2021,2021Q4,1049749.88,44728.2
39,АРХАНГЕЛЬСКАЯ ОБЛ,2022,2022Q1,1582536.94,69399.89
40,АРХАНГЕЛЬСКАЯ ОБЛ,2022,2022Q2,1209589.32,49266.38
41,АРХАНГЕЛЬСКАЯ ОБЛ,2022,2022Q3,1077016.73,37883.59
42,АСТРАХАНСКАЯ ОБЛ,2018,2018Q1,49267.06,3573.17
43,АСТРАХАНСКАЯ ОБЛ,2020,2020Q4,210802.65,15316.03
44,АСТРАХАНСКАЯ ОБЛ,2021,2021Q1,842575.46,18105.510000000002
45,АСТРАХАНСКАЯ ОБЛ,2021,2021Q3,414218.75,9206.37
46,АСТРАХАНСКАЯ ОБЛ,2021,2021Q4,20746.2,0.0
47,АСТРАХАНСКАЯ ОБЛ,2022,2022Q3,1096.64,631.81
48,БАШКОРТОСТАН РЕСП.,2022,2022Q1,39119.3,6144.72
49,БАШКОРТОСТАН РЕСП.,2022,2022Q2,11907.99,1343.86
50,БЕЛГОРОДСКАЯ ОБЛ,2018,2018Q1,363607.58,12833.24
51,БЕЛГОРОДСКАЯ ОБЛ,2018,2018Q2,458672.23,3611.21
52,БЕЛГОРОДСКАЯ ОБЛ,2018,2018Q3,933559.65,14664.359999999999
53,БЕЛГОРОДСКАЯ ОБЛ,2018,2018Q4,292806.42,10453.09
54,БЕЛГОРОДСКАЯ ОБЛ,2019,2019Q1,22957.17,2804.4700000000003
55,БЕЛГОРОДСКАЯ ОБЛ,2019,2019Q2,261157.06,6685.28
56,БЕЛГОРОДСКАЯ ОБЛ,2019,2019Q3,92026.51999999999,6713.200000000001
57,БЕЛГОРОДСКАЯ ОБЛ,2019,2019Q4,338801.09,16.15
58,БЕЛГОРОДСКАЯ ОБЛ,2020,2020Q4,367420.57,33331.75
59,БЕЛГОРОДСКАЯ ОБЛ,2021,2021Q1,336497.95,13130.88
60,БЕЛГОРОДСКАЯ ОБЛ,2021,2021Q2,518453.65,25071.52
61,БЕЛГОРОДСКАЯ ОБЛ,2021,2021Q3,114050.45000000001,5955.73
62,БЕЛГОРОДСКАЯ ОБЛ,2021,2021Q4,800582.64,5159.05
63,БЕЛГОРОДСКАЯ ОБЛ,2022,2022Q1,2086285.56,6963.6900000000005
64,БЕЛГОРОДСКАЯ ОБЛ,2022,2022Q2,1586670.21,5840.22
65,БЕЛГОРОДСКАЯ ОБЛ,2022,2022Q3,774046.28,9807.63
66,БРЯНСКАЯ ОБЛ,2018,2018Q1,5117.28,243.9
67,БРЯНСКАЯ ОБЛ,2018,2018Q2,11024.67,406.5
68,БРЯНСКАЯ ОБЛ,2018,2018Q3,14262.53,2294.81
69,БРЯНСКАЯ ОБЛ,2019,2019Q3,169922.05,2121.95
70,БРЯНСКАЯ ОБЛ,2020,2020Q3,102755.17,6665.04
71,БРЯНСКАЯ ОБЛ,2020,2020Q4,137301.4,11245.4
72,БРЯНСКАЯ ОБЛ,2021,2021Q1,874591.71,22177.26
73,БРЯНСКАЯ ОБЛ,2021,2021Q2,1043230.36,31404.379999999997
74,БРЯНСКАЯ ОБЛ,2021,2021Q4,700793.5399999999,17712.35
75,БРЯНСКАЯ ОБЛ,2022,2022Q2,95980.88,1167.09
76,БРЯНСКАЯ ОБЛ,2022,2022Q3,59675.57,2585.58
77,БУРЯТИЯ РЕСП,2018,2018Q1,186456.21,1483.8999999999999
78,БУРЯТИЯ РЕСП,2018,2018Q2,91260.95,1416.27
79,БУРЯТИЯ РЕСП,2018,2018Q4,593061.49,24373.89
80,БУРЯТИЯ РЕСП,2019,2019Q4,18270.54,402.43
81,БУРЯТИЯ РЕСП,2020,2020Q4,84082.86,2829.85
82,БУРЯТИЯ РЕСП,2021,2021Q1,83794.77,417.3
83,БУРЯТИЯ РЕСП,2021,2021Q2,54736.16,3132.7
84,БУРЯТИЯ РЕСП,2021,2021Q3,40232.94,1904.47
85,БУРЯТИЯ РЕСП,2021,2021Q4,64580.64,481.01
86,БУРЯТИЯ РЕСП,2022,2022Q2,28681.739999999998,1739.55
87,БУРЯТИЯ РЕСП,2022,2022Q3,31374.42,2764.38
88,ВЛАДИМИРСКАЯ ОБЛ,2018,2018Q4,1934048.6099999999,35.92
89,ВЛАДИМИРСКАЯ ОБЛ,2020,2020Q3,882838.92,11140.24
90,ВЛАДИМИРСКАЯ ОБЛ,2020,2020Q4,19761.36,1219.62
91,ВЛАДИМИРСКАЯ ОБЛ,2021,2021Q1,19258.74,406.5
92,ВЛАДИМИРСКАЯ ОБЛ,2021,2021Q3,21478.66,406.5
93,ВОЛГОГРАДСКАЯ ОБЛ,2018,2018Q3,154945.25,7902.43
94,ВОЛГОГРАДСКАЯ ОБЛ,2018,2018Q4,774172.56,21681.29
95,ВОЛГОГРАДСКАЯ ОБЛ,2019,2019Q1,50584.38,4156.05
96,ВОЛГОГРАДСКАЯ ОБЛ,2019,2019Q3,92815.1,5062.52
97,ВОЛГОГРАДСКАЯ ОБЛ,2020,2020Q4,31412.95,29117.87
98,ВОЛГОГРАДСКАЯ ОБЛ,2021,2021Q3,50499.6,2729.61
99,ВОЛГОГРАДСКАЯ ОБЛ,2021,2021Q4,678655.15,18081.32
100,ВОЛГОГРАДСКАЯ ОБЛ,2022,2022Q2,261833.74,9532.58
101,ВОЛГОГРАДСКАЯ ОБЛ,2022,2022Q3,296068.44999999995,39082.54
102,ВОЛОГОДСКАЯ ОБЛ,2018,2018Q1,6112563.42,45322.27
103,ВОЛОГОДСКАЯ ОБЛ,2018,2018Q2,3874558.57,29283.93
104,ВОЛОГОДСКАЯ ОБЛ,2018,2018Q3,3029707.8,26178.239999999998
105,ВОЛОГОДСКАЯ ОБЛ,2018,2018Q4,9755412.64,351133.0
106,ВОЛОГОДСКАЯ ОБЛ,2019,2019Q1,3313841.16,31619.67
107,ВОЛОГОДСКАЯ ОБЛ,2019,2019Q2,2812708.25,15838.449999999999
108,ВОЛОГОДСКАЯ ОБЛ,2019,2019Q3,1738673.35,11083.32
109,ВОЛОГОДСКАЯ ОБЛ,2019,2019Q4,9871701.79,433470.42
110,ВОЛОГОДСКАЯ ОБЛ,2020,2020Q1,2112175.86,16646.18
111,ВОЛОГОДСКАЯ ОБЛ,2020,2020Q2,2232143.05,14517.36
112,ВОЛОГОДСКАЯ ОБЛ,2020,2020Q3,2350473.03,14349.46
113,ВОЛОГОДСКАЯ ОБЛ,2020,2020Q4,8949417.69,576686.19
114,ВОЛОГОДСКАЯ ОБЛ,2021,2021Q1,2774358.43,21018.55
115,ВОЛОГОДСКАЯ ОБЛ,2021,2021Q2,3634994.6799999997,33734.7
116,ВОЛОГОДСКАЯ ОБЛ,2021,2021Q3,4469098.53,28331.489999999998
117,ВОЛОГОДСКАЯ ОБЛ,2021,2021Q4,9834701.58,458426.18
118,ВОЛОГОДСКАЯ ОБЛ,2022,2022Q1,2767449.99,17599.5
119,ВОЛОГОДСКАЯ ОБЛ,2022,2022Q2,3475223.88,22235.31
120,ВОЛОГОДСКАЯ ОБЛ,2022,2022Q3,991207.37,4756.05
121,ВОРОНЕЖСКАЯ ОБЛ,2018,2018Q1,4109.48,2221.9300000000003
122,ВОРОНЕЖСКАЯ ОБЛ,2018,2018Q2,230405.64,7961.97
123,ВОРОНЕЖСКАЯ ОБЛ,2018,2018Q3,28809.76,0.96
124,ВОРОНЕЖСКАЯ ОБЛ,2018,2018Q4,150453.7,1088.39
125,ВОРОНЕЖСКАЯ ОБЛ,2019,2019Q1,3857.4100000000003,8943.06
126,ВОРОНЕЖСКАЯ ОБЛ,2019,2019Q2,62869.8,1839.18
127,ВОРОНЕЖСКАЯ ОБЛ,2019,2019Q3,78817.98,271.2
128,ВОРОНЕЖСКАЯ ОБЛ,2020,2020Q4,122348.91,2479.35
129,ВОРОНЕЖСКАЯ ОБЛ,2021,2021Q1,25768.2,0.0
130,ВОРОНЕЖСКАЯ ОБЛ,2021,2021Q2,430545.19999999995,14071.84
131,ВОРОНЕЖСКАЯ ОБЛ,2021,2021Q3,53185.95,9159.95
132,ВОРОНЕЖСКАЯ ОБЛ,2021,2021Q4,1418044.0499999998,122708.27
133,ВОРОНЕЖСКАЯ ОБЛ,2022,2022Q2,25947.47,1720.62
134,ДАГЕСТАН РЕСП,2018,2018Q1,59830.68,625.0
135,ДАГЕСТАН РЕСП,2021,2021Q1,47608.94,1521.0
136,ЕВРЕЙСКАЯ АОБЛ,2021,2021Q4,461.93,0.03
137,ЗАБАЙКАЛЬСКИЙ КРАЙ,2018,2018Q1,72163.04,4438.61
138,ЗАБАЙКАЛЬСКИЙ КРАЙ,2021,2021Q1,186943.65,16030.4
139,ЗАБАЙКАЛЬСКИЙ КРАЙ,2021,2021Q2,128949.01,2856.43
140,ЗАБАЙКАЛЬСКИЙ КРАЙ,2021,2021Q3,50412.84,2869.07
141,ЗАБАЙКАЛЬСКИЙ КРАЙ,2022,2022Q1,185827.32,12182.52
142,ЗАБАЙКАЛЬСКИЙ КРАЙ,2022,2022Q2,105698.28,5497.34
143,ИВАНОВСКАЯ ОБЛ,2018,2018Q1,235695.35,3116.34
144,ИВАНОВСКАЯ ОБЛ,2018,2018Q2,113906.23,4891.48
145,ИВАНОВСКАЯ ОБЛ,2018,2018Q3,8946.44,650.4
146,ИВАНОВСКАЯ ОБЛ,2018,2018Q4,3489.26,280.48
147,ИВАНОВСКАЯ ОБЛ,2021,2021Q1,11276.01,243.9
148,ИВАНОВСКАЯ ОБЛ,2021,2021Q2,12027.07,243.9
149,ИВАНОВСКАЯ ОБЛ,2021,2021Q4,318895.92000000004,10836.65
150,ИНГУШЕТИЯ РЕСП,2018,2018Q2,27980.21,7742.06
151,ИНГУШЕТИЯ РЕСП,2021,2021Q2,16972.11,1766.26
152,ИРКУТСКАЯ ОБЛ,2018,2018Q1,2508020.42,75247.63
153,ИРКУТСКАЯ ОБЛ,2018,2018Q2,2364927.53,63879.92
154,ИРКУТСКАЯ ОБЛ,2018,2018Q3,2625065.02,59298.67
155,ИРКУТСКАЯ ОБЛ,2018,2018Q4,2694164.75,132114.07
156,ИРКУТСКАЯ ОБЛ,2019,2019Q1,1183430.02,45513.33
157,ИРКУТСКАЯ ОБЛ,2019,2019Q2,1369787.44,44039.67
158,ИРКУТСКАЯ ОБЛ,2019,2019Q3,459407.77,7935.969999999999
159,ИРКУТСКАЯ ОБЛ,2019,2019Q4,1351688.86,127256.34000000001
160,ИРКУТСКАЯ ОБЛ,2020,2020Q1,468732.39,37790.38
161,ИРКУТСКАЯ ОБЛ,2020,2020Q2,396796.94,13365.42
162,ИРКУТСКАЯ ОБЛ,2020,2020Q3,886131.44,26507.53
163,ИРКУТСКАЯ ОБЛ,2020,2020Q4,5748790.74,298477.91
164,ИРКУТСКАЯ ОБЛ,2021,2021Q1,8530356.9,260267.72
165,ИРКУТСКАЯ ОБЛ,2021,2021Q2,2738482.17,73497.1
166,ИРКУТСКАЯ ОБЛ,2021,2021Q3,2753517.4,142209.93
167,ИРКУТСКАЯ ОБЛ,2021,2021Q4,6779444.33,345263.73
